Market,Date,Price,Type,Confidence
US,2008-01-24,1352.0699462890625,URP (Upward Reversal),0.69441545
US,2008-01-29,1362.300048828125,DRP (Downward Reversal),0.4889424
US,2008-01-30,1355.81005859375,URP (Upward Reversal),0.4901725
US,2008-02-04,1380.8199462890625,DRP (Downward Reversal),0.73256296
US,2008-02-08,1331.2900390625,URP (Upward Reversal),0.7368434
US,2008-02-14,1348.8599853515625,DRP (Downward Reversal),0.7529563
US,2008-02-27,1380.02001953125,URP (Upward Reversal),0.47857237
US,2008-02-28,1367.6800537109375,DRP (Downward Reversal),0.6897617
US,2008-03-18,1330.739990234375,URP (Upward Reversal),0.7376469
US,2008-03-25,1352.989990234375,DRP (Downward Reversal),0.72345704
US,2008-04-01,1370.1800537109375,URP (Upward Reversal),0.7452613
US,2008-04-08,1365.5400390625,DRP (Downward Reversal),0.6868769
US,2008-04-16,1364.7099609375,URP (Upward Reversal),0.718216
US,2008-05-05,1407.489990234375,DRP (Downward Reversal),0.6352617
US,2008-05-12,1403.5799560546875,URP (Upward Reversal),0.68422973
US,2008-05-20,1413.4000244140625,DRP (Downward Reversal),0.6591815
US,2008-06-06,1360.6800537109375,URP (Upward Reversal),0.45372933
US,2008-06-10,1358.43994140625,DRP (Downward Reversal),0.47556913
US,2008-07-16,1245.3599853515625,URP (Upward Reversal),0.7441387
US,2008-07-24,1252.5400390625,DRP (Downward Reversal),0.7017309
US,2008-07-29,1263.199951171875,URP (Upward Reversal),0.7390648
US,2008-08-12,1289.5899658203125,DRP (Downward Reversal),0.695384
US,2008-08-21,1277.719970703125,URP (Upward Reversal),0.70032483
US,2008-09-03,1274.97998046875,DRP (Downward Reversal),0.6740531
US,2008-09-19,1255.0799560546875,URP (Upward Reversal),0.69256514
US,2008-09-22,1207.0899658203125,DRP (Downward Reversal),0.733033
US,2008-09-30,1166.3599853515625,URP (Upward Reversal),0.5266541
US,2008-10-01,1161.06005859375,DRP (Downward Reversal),0.6416971
US,2008-10-13,1003.3499755859376,URP (Upward Reversal),0.73003614
US,2008-10-14,998.010009765625,DRP (Downward Reversal),0.6007274
US,2008-10-16,946.4299926757812,URP (Upward Reversal),0.62116516
US,2008-10-17,940.5499877929688,DRP (Downward Reversal),0.61420774
US,2008-10-23,908.1099853515624,URP (Upward Reversal),0.5455965
US,2008-10-24,876.77001953125,DRP (Downward Reversal),0.59733546
US,2008-10-29,930.0900268554688,URP (Upward Reversal),0.5893229
US,2008-10-31,968.75,DRP (Downward Reversal),0.52818984
US,2008-11-04,1005.75,URP (Upward Reversal),0.5105209
US,2008-11-05,952.77001953125,DRP (Downward Reversal),0.79785764
US,2008-11-24,851.8099975585938,URP (Upward Reversal),0.6386743
US,2008-11-25,857.3900146484375,DRP (Downward Reversal),0.5678195
US,2008-12-30,890.6400146484375,URP (Upward Reversal),0.7550915
US,2009-01-07,906.6500244140624,DRP (Downward Reversal),0.70530623
US,2009-01-22,827.5,URP (Upward Reversal),0.6728924
US,2009-01-26,836.5700073242188,DRP (Downward Reversal),0.5118717
US,2009-02-03,838.510009765625,URP (Upward Reversal),0.76131344
US,2009-02-06,868.5999755859375,DRP (Downward Reversal),0.5098155
Gold,2017-10-17,1283.0,DRP (Downward Reversal),0.65522784
Gold,2017-10-27,1268.5,URP (Upward Reversal),0.692748
Gold,2017-11-10,1272.4000244140625,DRP (Downward Reversal),0.68061215
Gold,2017-11-21,1281.0999755859375,URP (Upward Reversal),0.63636
Gold,2017-11-30,1273.199951171875,DRP (Downward Reversal),0.67374706
Gold,2017-12-13,1245.4000244140625,URP (Upward Reversal),0.6862283
Gold,2018-01-05,1320.300048828125,DRP (Downward Reversal),0.5757543
Gold,2018-01-10,1317.4000244140625,URP (Upward Reversal),0.46726143
Gold,2018-01-16,1335.4000244140625,DRP (Downward Reversal),0.6494475
Gold,2018-01-25,1362.4000244140625,URP (Upward Reversal),0.46850175
Gold,2018-01-26,1351.5999755859375,DRP (Downward Reversal),0.6430056
Gold,2018-02-09,1313.0999755859375,URP (Upward Reversal),0.671551
Gold,2018-02-20,1328.800048828125,DRP (Downward Reversal),0.65931505
Gold,2018-03-02,1321.0999755859375,URP (Upward Reversal),0.703334
Gold,2018-03-08,1319.9000244140625,DRP (Downward Reversal),0.6801357
Gold,2018-03-20,1311.0999755859375,URP (Upward Reversal),0.6897426
Gold,2018-03-27,1341.300048828125,DRP (Downward Reversal),0.6650633
Gold,2018-04-09,1336.300048828125,URP (Upward Reversal),0.6843069
Gold,2018-04-12,1338.4000244140625,DRP (Downward Reversal),0.6638089
Gold,2018-05-03,1310.699951171875,URP (Upward Reversal),0.68092495
Gold,2018-05-11,1319.0,DRP (Downward Reversal),0.68622243
Gold,2018-05-21,1290.199951171875,URP (Upward Reversal),0.6913675
Gold,2018-06-01,1294.800048828125,DRP (Downward Reversal),0.6719549
Gold,2018-06-04,1293.0999755859375,URP (Upward Reversal),0.65077853
Gold,2018-06-15,1274.5999755859375,DRP (Downward Reversal),0.6786069
Gold,2018-07-05,1257.300048828125,URP (Upward Reversal),0.6692549
Gold,2018-07-10,1253.800048828125,DRP (Downward Reversal),0.66261756
Gold,2018-07-20,1229.5,URP (Upward Reversal),0.6980812
Gold,2018-07-26,1225.300048828125,DRP (Downward Reversal),0.69666815
Thai,2000-08-29,309.239990234375,URP (Upward Reversal),0.7302098
Thai,2000-09-08,297.07000732421875,DRP (Downward Reversal),0.5126036
Thai,2000-09-25,280.25,URP (Upward Reversal),0.7585559
Thai,2000-09-29,277.2900085449219,DRP (Downward Reversal),0.722822
Thai,2000-10-13,254.2599945068359,URP (Upward Reversal),0.6885128
Thai,2000-10-17,259.95001220703125,DRP (Downward Reversal),0.51214933
Thai,2000-10-20,276.6000061035156,URP (Upward Reversal),0.48665923
Thai,2000-10-24,275.4800109863281,DRP (Downward Reversal),0.7302894
Thai,2000-10-30,270.3399963378906,URP (Upward Reversal),0.4850999
Thai,2000-11-09,293.5899963378906,DRP (Downward Reversal),0.64451927
Thai,2000-11-14,288.2799987792969,URP (Upward Reversal),0.74404174
Thai,2000-11-21,287.05999755859375,DRP (Downward Reversal),0.68329716
Thai,2000-12-14,271.2900085449219,URP (Upward Reversal),0.7090262
Thai,2000-12-27,266.4700012207031,DRP (Downward Reversal),0.48266187
Gold,2010-12-08,1382.5,DRP (Downward Reversal),0.61969167
Gold,2010-12-09,1392.0999755859375,URP (Upward Reversal),0.66734004
Gold,2011-01-04,1378.5,DRP (Downward Reversal),0.6506779
Gold,2011-01-10,1373.699951171875,URP (Upward Reversal),0.6956425
Gold,2011-01-14,1360.4000244140625,DRP (Downward Reversal),0.7093417
Gold,2011-01-31,1333.800048828125,URP (Upward Reversal),0.700262
Gold,2011-03-08,1426.9000244140625,DRP (Downward Reversal),0.57665265
Gold,2011-03-16,1396.0,URP (Upward Reversal),0.69416314
Gold,2011-03-25,1426.0999755859375,DRP (Downward Reversal),0.6645227
Gold,2011-03-31,1438.9000244140625,URP (Upward Reversal),0.68180823
Gold,2011-05-03,1540.0999755859375,DRP (Downward Reversal),0.56662744
Gold,2011-05-06,1491.199951171875,URP (Upward Reversal),0.6980517
Gold,2011-06-07,1543.300048828125,DRP (Downward Reversal),0.63670677
Gold,2011-06-14,1523.800048828125,URP (Upward Reversal),0.6823771
Gold,2011-06-23,1520.0999755859375,DRP (Downward Reversal),0.6678684
Gold,2011-07-05,1512.300048828125,URP (Upward Reversal),0.70618683
Gold,2011-08-24,1754.0999755859375,DRP (Downward Reversal),0.5111567
Gold,2011-08-25,1759.800048828125,URP (Upward Reversal),0.5194905
Gold,2011-08-29,1788.4000244140625,DRP (Downward Reversal),0.5206004
UK,2008-01-23,5609.39990234375,URP (Upward Reversal),0.6847162
UK,2008-01-25,5869.0,DRP (Downward Reversal),0.547729
UK,2008-02-12,5910.0,URP (Upward Reversal),0.75790817
UK,2008-02-19,5966.89990234375,DRP (Downward Reversal),0.49247527
UK,2008-02-20,5893.60009765625,URP (Upward Reversal),0.5167634
UK,2008-02-28,5965.7001953125,DRP (Downward Reversal),0.6899962
UK,2008-03-18,5605.7998046875,URP (Upward Reversal),0.7467198
UK,2008-05-08,6270.7998046875,DRP (Downward Reversal),0.65026426
UK,2008-05-14,6216.0,URP (Upward Reversal),0.6792958
UK,2008-05-20,6191.60009765625,DRP (Downward Reversal),0.67066216
UK,2008-06-12,5790.5,URP (Upward Reversal),0.7240753
UK,2008-06-18,5756.89990234375,DRP (Downward Reversal),0.7357413
UK,2008-07-04,5412.7998046875,URP (Upward Reversal),0.7288969
UK,2008-07-10,5406.7998046875,DRP (Downward Reversal),0.48444134
UK,2008-07-11,5261.60009765625,URP (Upward Reversal),0.51721555
UK,2008-07-15,5171.89990234375,DRP (Downward Reversal),0.54051846
UK,2008-07-17,5286.2998046875,URP (Upward Reversal),0.77173567
UK,2008-07-24,5362.2998046875,DRP (Downward Reversal),0.75010777
UK,2008-07-30,5420.7001953125,URP (Upward Reversal),0.7597714
UK,2008-08-13,5448.60009765625,DRP (Downward Reversal),0.68029803
UK,2008-08-22,5505.60009765625,URP (Upward Reversal),0.70202714
UK,2008-09-01,5602.7998046875,DRP (Downward Reversal),0.6781185
UK,2008-09-08,5446.2998046875,URP (Upward Reversal),0.731382
UK,2008-09-15,5204.2001953125,DRP (Downward Reversal),0.5195487
UK,2008-09-22,5236.2998046875,URP (Upward Reversal),0.58930296
UK,2008-09-25,5197.0,DRP (Downward Reversal),0.5039789
UK,2008-09-30,4902.5,URP (Upward Reversal),0.5155181
UK,2008-10-01,4959.60009765625,DRP (Downward Reversal),0.6066188
UK,2008-10-07,4605.2001953125,URP (Upward Reversal),0.50452614
UK,2008-10-08,4366.7001953125,DRP (Downward Reversal),0.60039437
UK,2008-10-13,4256.89990234375,URP (Upward Reversal),0.5114467
UK,2008-10-14,4394.2001953125,DRP (Downward Reversal),0.7128361
UK,2008-10-17,4063.0,URP (Upward Reversal),0.78957856
UK,2008-10-20,4282.7001953125,DRP (Downward Reversal),0.50240684
UK,2008-10-23,4087.800048828125,URP (Upward Reversal),0.5406511
UK,2008-10-24,3883.39990234375,DRP (Downward Reversal),0.55320024
UK,2008-10-27,3852.60009765625,URP (Upward Reversal),0.51930046
UK,2008-10-30,4291.7001953125,DRP (Downward Reversal),0.54131526
UK,2008-10-31,4377.2998046875,URP (Upward Reversal),0.5154883
UK,2008-11-05,4530.7001953125,DRP (Downward Reversal),0.76196504
UK,2008-11-24,4153.0,URP (Upward Reversal),0.75528544
UK,2008-11-25,4171.2998046875,DRP (Downward Reversal),0.53604066
UK,2008-12-03,4170.0,URP (Upward Reversal),0.74932736
UK,2008-12-09,4381.2998046875,DRP (Downward Reversal),0.55987096
UK,2008-12-11,4388.7001953125,URP (Upward Reversal),0.5383688
UK,2008-12-12,4280.39990234375,DRP (Downward Reversal),0.75533056
UK,2008-12-22,4249.2001953125,URP (Upward Reversal),0.78716934
UK,2008-12-30,4392.7001953125,DRP (Downward Reversal),0.5175908
UK,2009-01-02,4561.7998046875,URP (Upward Reversal),0.5130094
UK,2009-01-07,4507.5,DRP (Downward Reversal),0.6738329
UK,2009-01-26,4209.0,URP (Upward Reversal),0.71417874
UK,2009-01-29,4190.10009765625,DRP (Downward Reversal),0.76166564
UK,2009-02-03,4164.5,URP (Upward Reversal),0.7764668
UK,2009-02-10,4213.10009765625,DRP (Downward Reversal),0.7383458
UK,2014-09-05,6855.10009765625,DRP (Downward Reversal),0.5994656
UK,2014-09-17,6780.89990234375,URP (Upward Reversal),0.44813797
UK,2014-09-22,6773.60009765625,DRP (Downward Reversal),0.65208304
UK,2014-10-17,6310.2998046875,URP (Upward Reversal),0.72153574
UK,2014-11-24,6729.7998046875,DRP (Downward Reversal),0.59180087
UK,2014-12-01,6656.39990234375,URP (Upward Reversal),0.45186672
UK,2014-12-11,6461.7001953125,DRP (Downward Reversal),0.47514245
UK,2014-12-17,6336.5,URP (Upward Reversal),0.70469415
UK,2014-12-30,6547.0,DRP (Downward Reversal),0.69515663
UK,2015-01-07,6419.7998046875,URP (Upward Reversal),0.73633987
UK,2015-02-04,6860.0,DRP (Downward Reversal),0.5802082
UK,2015-02-16,6857.10009765625,URP (Upward Reversal),0.4590671
UK,2015-03-03,6889.10009765625,DRP (Downward Reversal),0.6007716
UK,2015-03-12,6761.10009765625,URP (Upward Reversal),0.68238527
UK,2015-03-25,6991.0,DRP (Downward Reversal),0.63918626
UK,2015-04-01,6809.5,URP (Upward Reversal),0.7046083
UK,2015-04-17,6994.60009765625,DRP (Downward Reversal),0.62783015
UK,2015-04-20,7052.10009765625,URP (Upward Reversal),0.66127986
BTC,2017-09-03,4582.9599609375,DRP (Downward Reversal),0.5499401
BTC,2017-09-05,4376.52978515625,URP (Upward Reversal),0.5377555
BTC,2017-09-06,4597.1201171875,DRP (Downward Reversal),0.5693161
BTC,2017-09-09,4226.06005859375,URP (Upward Reversal),0.5549165
BTC,2017-09-10,4122.93994140625,DRP (Downward Reversal),0.5379041
BTC,2017-09-15,3637.52001953125,URP (Upward Reversal),0.61605996
BTC,2017-09-18,4065.199951171875,DRP (Downward Reversal),0.5095684
BTC,2017-09-22,3630.699951171875,URP (Upward Reversal),0.517922
BTC,2017-09-23,3792.39990234375,DRP (Downward Reversal),0.5955693
BTC,2017-09-29,4163.06982421875,URP (Upward Reversal),0.5366155
BTC,2017-10-03,4317.47998046875,DRP (Downward Reversal),0.70050573
BTC,2017-10-09,4772.02001953125,URP (Upward Reversal),0.49125907
BTC,2017-10-22,6008.419921875,DRP (Downward Reversal),0.59328294
BTC,2017-10-24,5526.64013671875,URP (Upward Reversal),0.5181225
BTC,2017-10-30,6130.52978515625,DRP (Downward Reversal),0.50298744
BTC,2017-10-31,6468.39990234375,URP (Upward Reversal),0.5591043
BTC,2017-11-09,7143.580078125,DRP (Downward Reversal),0.61476666
BTC,2017-11-10,6618.14013671875,URP (Upward Reversal),0.50708586
BTC,2017-11-14,6635.75,DRP (Downward Reversal),0.53561026
BTC,2017-11-18,7790.14990234375,URP (Upward Reversal),0.60334057
BTC,2017-12-08,16569.400390625,DRP (Downward Reversal),0.5332719
BTC,2017-12-09,15178.2001953125,URP (Upward Reversal),0.5058438
BTC,2017-12-12,17415.400390625,DRP (Downward Reversal),0.51564544
BTC,2017-12-13,16408.19921875,URP (Upward Reversal),0.5387205
US,2017-01-27,2294.68994140625,DRP (Downward Reversal),0.6609446
US,2017-02-07,2293.080078125,URP (Upward Reversal),0.4590957
US,2017-03-02,2381.919921875,DRP (Downward Reversal),0.5901255
US,2017-03-10,2372.60009765625,URP (Upward Reversal),0.6664031
US,2017-03-16,2381.3798828125,DRP (Downward Reversal),0.66978747
US,2017-03-28,2358.570068359375,URP (Upward Reversal),0.6853515
US,2017-04-06,2357.489990234375,DRP (Downward Reversal),0.6622825
US,2017-04-17,2349.010009765625,URP (Upward Reversal),0.6810862
US,2017-04-27,2388.77001953125,DRP (Downward Reversal),0.6485166
US,2017-05-04,2389.52001953125,URP (Upward Reversal),0.6672322
US,2017-05-17,2357.030029296875,DRP (Downward Reversal),0.6435812
US,2017-05-19,2381.72998046875,URP (Upward Reversal),0.6537238
US,2017-06-20,2437.030029296875,DRP (Downward Reversal),0.68360144
US,2017-06-30,2423.409912109375,URP (Upward Reversal),0.6703167
US,2017-08-09,2474.02001953125,DRP (Downward Reversal),0.6611404
US,2017-08-22,2452.510009765625,URP (Upward Reversal),0.6471734
US,2017-11-08,2594.3798828125,DRP (Downward Reversal),0.63620824
US,2017-11-16,2585.639892578125,URP (Upward Reversal),0.6716263
US,2017-12-05,2629.570068359375,DRP (Downward Reversal),0.6080614
US,2017-12-12,2664.110107421875,URP (Upward Reversal),0.45729306
US,2017-12-19,2681.469970703125,DRP (Downward Reversal),0.6219111
US,2017-12-28,2687.5400390625,URP (Upward Reversal),0.4538131
Thai,2014-05-14,1396.030029296875,URP (Upward Reversal),0.6624188
Thai,2014-05-23,1396.8399658203125,DRP (Downward Reversal),0.6795251
Thai,2014-05-26,1388.2900390625,URP (Upward Reversal),0.65779066
Thai,2014-06-18,1451.3599853515625,DRP (Downward Reversal),0.59511507
Thai,2014-06-20,1467.2900390625,URP (Upward Reversal),0.64459085
Thai,2014-07-28,1538.1300048828125,DRP (Downward Reversal),0.60528886
Thai,2014-08-04,1519.3800048828125,URP (Upward Reversal),0.70247805
Thai,2014-09-09,1583.1800537109375,DRP (Downward Reversal),0.5883077
Thai,2014-09-18,1584.22998046875,URP (Upward Reversal),0.66520983
Thai,2014-09-30,1585.6700439453125,DRP (Downward Reversal),0.636591
Thai,2014-10-09,1560.6099853515625,URP (Upward Reversal),0.6815695
Thai,2014-11-04,1585.1500244140625,DRP (Downward Reversal),0.64933026
Thai,2014-11-13,1577.2099609375,URP (Upward Reversal),0.45583346
Thai,2014-11-28,1593.9100341796875,DRP (Downward Reversal),0.63599277
Thai,2014-12-16,1461.739990234375,URP (Upward Reversal),0.69155157
Thai,2014-12-18,1516.7900390625,DRP (Downward Reversal),0.50886226
BTC,2019-11-26,7218.37109375,URP (Upward Reversal),0.68129206
BTC,2019-11-27,7531.66357421875,DRP (Downward Reversal),0.51277125
BTC,2019-12-05,7448.3076171875,URP (Upward Reversal),0.7771989
BTC,2019-12-12,7243.13427734375,DRP (Downward Reversal),0.52040774
BTC,2019-12-19,7202.84423828125,URP (Upward Reversal),0.60135096
BTC,2019-12-22,7511.5888671875,DRP (Downward Reversal),0.49956954
